날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1960-01-13,108,-2.8,-9.1,1.6
1960-01-14,108,-1.5,-6.7,2.4
1960-01-15,108,-4.8,-8.2,-2.2
1960-01-16,108,-5,-8.7,-1.2
1960-01-17,108,-5.3,-9.9,-1.1
1960-01-18,108,-2.5,-7.2,0.5
1960-01-19,108,2.1,-1.6,6.7
1960-01-20,108,-0.5,-3.4,1.7
1960-01-21,108,-6.1,-9.9,-3.4
1960-01-22,108,-9.5,-12.6,-4.9
1960-01-23,108,-13.1,-15.8,-9.6
1960-01-24,108,-12.5,-17,-8
1960-01-25,108,-7.3,-15.3,-0.4
1960-01-26,108,-7.2,-12.2,-3.8
1960-01-27,108,-10.5,-14.8,-7.6
1960-01-28,108,-11,-15.3,-7
1960-01-29,108,-7.5,-14.6,-2
1960-01-30,108,-0.2,-6.4,5.2
1960-01-31,108,2.6,-0.2,6.2
1960-02-01,108,0.8,-2.2,6.2
1960-02-02,108,1.2,-4.7,6.6
1960-02-03,108,1.2,-1.7,5.8
1960-02-04,108,-1.2,-4.7,2.6
1960-02-05,108,1.3,-6.5,6.5
1960-02-06,108,6.7,0.9,12
1960-02-07,108,9.2,5.3,13.1
1960-02-08,108,9.1,6.6,13.7
1960-02-09,108,2.9,-1.5,6.9
1960-02-10,108,-3.1,-5.7,0.4
1960-02-11,108,-3.3,-6.1,-0.5
1960-02-12,108,-4.1,-8.6,0.3
1960-02-13,108,0.6,-3.7,4.7
1960-02-14,108,-0.8,-3.7,3
1960-02-15,108,-1.1,-5.5,5
1960-02-16,108,-0.4,-6,5.2
1960-02-17,108,1.8,-2.6,7
1960-02-18,108,-1.3,-6,2.8
1960-02-19,108,3.4,-3.6,8.5
1960-02-20,108,3.4,-0.8,6.6
1960-02-21,108,0.2,-3,4.5
1960-02-22,108,0.3,-5.1,5.9
1960-02-23,108,2.3,-4,8.4
1960-02-24,108,3.7,-1.2,8.4
1960-02-25,108,4.9,1.2,6.7
1960-02-26,108,2.1,-1.6,6.8
1960-02-27,108,1.9,-2.3,7.1
1960-02-28,108,3.8,-2.4,9.3
1960-02-29,108,5,1,10.8
1960-03-01,108,6.2,-0.4,14.2
1960-03-02,108,5.6,0,11.7
1960-03-03,108,2.4,-3.7,9.1
1960-03-04,108,4.8,0.8,9.8
1960-03-05,108,6.2,-0.4,13.7
1960-03-06,108,8,5.2,11.1
1960-03-07,108,10.1,2.8,17.8
1960-03-08,108,10.9,5.6,16
1960-03-09,108,11.8,7.2,18.1
1960-03-10,108,9.4,4.2,16.8
1960-03-11,108,8.3,5.1,10.8
1960-03-12,108,1.5,-4.1,7.8
1960-03-13,108,-2.2,-5.8,3.2
1960-03-14,108,0.1,-5.7,6
1960-03-15,108,3.2,-1.4,9.6
1960-03-16,108,6,-1.5,13.4
1960-03-17,108,6.3,2.3,12.7
1960-03-18,108,8,0.2,16.7
1960-03-19,108,10.6,4,16.4
1960-03-20,108,8.7,6.8,11.2
1960-03-21,108,6.5,2.5,9.4
1960-03-22,108,5.5,-0.1,11.7
1960-03-23,108,5.3,2.8,9.8
1960-03-24,108,7.8,1.1,13.9
1960-03-25,108,5.3,3.8,8.1
1960-03-26,108,5.2,2.3,8.4
1960-03-27,108,4.6,0.1,9.4
1960-03-28,108,11,3.6,16.3
1960-03-29,108,13.7,12.8,14.4
1960-03-30,108,10.1,6.8,14.5
1960-03-31,108,5.8,2.8,9.4
1960-04-01,108,2.9,-0.2,7.7
1960-04-02,108,4.4,-0.9,10.4
1960-04-03,108,6.9,0.2,12.9
1960-04-04,108,6.9,3.2,12.2
1960-04-05,108,5.3,0.6,10.6
1960-04-06,108,8.5,3.2,15.8
1960-04-07,108,4.8,-0.4,10.8
1960-04-08,108,7.3,0.2,15
1960-04-09,108,12.2,2.7,20.4
1960-04-10,108,11.6,6.4,16.9
1960-04-11,108,10.8,3.9,17.1
1960-04-12,108,14.2,9.2,22.1
1960-04-13,108,10.5,9,12.2
1960-04-14,108,10,7,14.3
1960-04-15,108,10,6.2,14.6
1960-04-16,108,8.3,4.7,12.7
1960-04-17,108,7.7,2.6,13.4
1960-04-18,108,8.7,2.2,15.1
1960-04-19,108,10.6,4.5,15.7
1960-04-20,108,11.6,8.1,17.1
1960-04-21,108,10,4.6,15.8
1960-04-22,108,13,9.6,18.1
1960-04-23,108,15.9,8,25.3
1960-04-24,108,14.6,10.5,21.7
1960-04-25,108,16.3,12.3,22.8
1960-04-26,108,17,12.3,23.5
1960-04-27,108,14.4,11.2,20
1960-04-28,108,13.7,7.3,22.1
1960-04-29,108,13.5,8.5,21
1960-04-30,108,15.5,6.8,24
1960-05-01,108,14.1,9.9,19.6
1960-05-02,108,17.1,6.4,26
1960-05-03,108,22.1,18.2,24.9
1960-05-04,108,18.4,12.6,23.4
1960-05-05,108,14.6,10.1,20.6
1960-05-06,108,14.3,8.9,21
1960-05-07,108,15.1,11,21
1960-05-08,108,15,9.1,21.9
1960-05-09,108,12.7,11,16.2
1960-05-10,108,14.4,9.5,22
1960-05-11,108,15.1,9.3,22.3
1960-05-12,108,16.8,13.1,20.5
1960-05-13,108,15.3,12.3,16.8
1960-05-14,108,15.9,12,20.8
1960-05-15,108,14,12.6,16.4
1960-05-16,108,14.6,11.3,20.2
1960-05-17,108,15.4,10.8,19.7
1960-05-18,108,16.2,13.7,19.6
1960-05-19,108,16.3,11.3,22.4
1960-05-20,108,14.8,10.8,20.7
1960-05-21,108,15.4,10.8,21.4
1960-05-22,108,16.3,11.2,21.7
1960-05-23,108,17.8,11.6,24.6
1960-05-24,108,20.6,14,28.5
1960-05-25,108,22.9,15.8,30.2
1960-05-26,108,20.1,15,25.6
1960-05-27,108,18.2,15.2,22.2
1960-05-28,108,16,14.5,18.6
1960-05-29,108,17.9,13.1,23.4
1960-05-30,108,16.6,12.8,22.3
1960-05-31,108,18.6,11.8,24.3
1960-06-01,108,18.5,15.2,24.4
1960-06-02,108,18,15,23.3
1960-06-03,108,16.6,13.6,17.8
1960-06-04,108,17.6,12.7,22.4
1960-06-05,108,18.2,15.1,23.7
1960-06-06,108,20.4,13.7,26.8
1960-06-07,108,21.2,17.4,25.2
1960-06-08,108,23.3,17.8,29.9
1960-06-09,108,21.9,16.6,27.6
1960-06-10,108,20.4,17.9,24.8
1960-06-11,108,20.4,15.2,26.6
1960-06-12,108,17,15.6,19.5
1960-06-13,108,16.9,14.6,19.5
1960-06-14,108,21.3,16.3,27.8
1960-06-15,108,22.7,18.8,28.5
1960-06-16,108,20.5,15.8,27
1960-06-17,108,18.2,15.3,21.3
1960-06-18,108,19.1,17.4,22.6
1960-06-19,108,21.4,16.9,26.8
1960-06-20,108,21.5,16.7,26.4
1960-06-21,108,25.2,19.9,31.4
1960-06-22,108,21,18.6,26.2
1960-06-23,108,21.2,16,27.8
1960-06-24,108,23.2,16.6,31.7
1960-06-25,108,24.6,17.8,31.2
1960-06-26,108,20,18.8,25.2
1960-06-27,108,21.8,18,24.4
1960-06-28,108,21.7,19.6,24
1960-06-29,108,20.7,19.4,22.6
1960-06-30,108,23,20,26.2
1960-07-01,108,21.7,19.5,24.2
1960-07-02,108,24.8,20.7,29.8
1960-07-03,108,22.3,20.7,24.4
1960-07-04,108,22.4,20.4,26.4
1960-07-05,108,24.4,20.4,30.6
1960-07-06,108,25.7,21.4,30.4
1960-07-07,108,20.1,18.9,22.3
1960-07-08,108,20.6,18.6,22.3
1960-07-09,108,22.7,18.8,27
1960-07-10,108,25,19.5,30.2
1960-07-11,108,24.2,21.1,30
1960-07-12,108,25.2,22.8,29.1
1960-07-13,108,25.3,22.8,29
1960-07-14,108,23.6,22.1,24.4
1960-07-15,108,25.5,22.6,29.2
1960-07-16,108,26.9,22.9,31.9
1960-07-17,108,26.9,23.4,31.5
1960-07-18,108,26.9,23.7,31.4
1960-07-19,108,26.3,23.7,31.4
1960-07-20,108,26.1,23.5,31.2
1960-07-21,108,25.8,21.9,31.5
1960-07-22,108,26,21.4,32.4
1960-07-23,108,26.5,22.8,31.6
1960-07-24,108,24.7,23.3,28
1960-07-25,108,23.3,21.5,24.8
1960-07-26,108,23.8,19.9,27
1960-07-27,108,26.2,22.6,30.5
1960-07-28,108,26.1,23.4,28.6
1960-07-29,108,27.9,25.8,32.3
1960-07-30,108,26.7,24.9,30.6
1960-07-31,108,26.3,24.3,30.5
1960-08-01,108,26.4,24.2,29.8
1960-08-02,108,26.7,24.7,29.8
1960-08-03,108,28.3,24.6,34.3
1960-08-04,108,27.5,24.6,34.3
1960-08-05,108,28.5,24.5,34.4
1960-08-06,108,28.5,25.7,34.1
1960-08-07,108,28.5,24.7,33.6
1960-08-08,108,28.6,24.8,34.1
1960-08-09,108,27.8,24,33.7
1960-08-10,108,28.5,24.2,33.8
1960-08-11,108,27.6,24.3,32.9
1960-08-12,108,26.9,23,32.2
1960-08-13,108,26.1,23.2,30.6
1960-08-14,108,26.4,21.4,32
1960-08-15,108,25.8,20.8,30.6
1960-08-16,108,26,22.8,28.7
1960-08-17,108,27.5,23.5,33.9
1960-08-18,108,26.7,22.7,31.1
1960-08-19,108,27.6,22.7,33.3
1960-08-20,108,28.3,24.4,34.1
1960-08-21,108,27.6,23.1,33.5
1960-08-22,108,27.6,24.1,32.4
1960-08-23,108,24.7,20.9,27.1
1960-08-24,108,24.4,20.6,29.6
1960-08-25,108,24,19.9,29.2
1960-08-26,108,24.6,19.9,31
1960-08-27,108,25.3,20.4,30.4
1960-08-28,108,20.2,18,25
1960-08-29,108,20.1,18.6,21.7
1960-08-30,108,22,17.7,26.6
1960-08-31,108,24.2,20.6,29.4
1960-09-01,108,24.9,19.4,31.3
1960-09-02,108,25.2,22,31.1
1960-09-03,108,22.8,21.1,25.7
1960-09-04,108,21.2,19.2,23.6
1960-09-05,108,22.8,17.7,29.1
1960-09-06,108,21.9,20,25.1
1960-09-07,108,21.3,17.3,26.4
1960-09-08,108,18.9,14.5,24.3
1960-09-09,108,20.3,15.3,26.1
1960-09-10,108,22.1,16.5,28.6
1960-09-11,108,22,15.1,29.2
1960-09-12,108,23.2,16.7,30.2
1960-09-13,108,22.5,17.5,30.7
1960-09-14,108,19.9,17.8,21.5
1960-09-15,108,18.7,15.2,23.8
1960-09-16,108,19,12.3,25.7
1960-09-17,108,18.3,15.4,20.8
1960-09-18,108,19.1,15.9,20.8
1960-09-19,108,21.8,16.8,27.8
1960-09-20,108,21.2,16.2,27.9
1960-09-21,108,20.7,14.6,27.2
1960-09-22,108,21,17.6,25.3
1960-09-23,108,21.7,18.1,24.9
1960-09-24,108,21.8,19.6,25.1
1960-09-25,108,21.1,16.6,27.2
1960-09-26,108,17.8,16.9,20.7
1960-09-27,108,21,17.2,22.5
1960-09-28,108,18.6,14.8,23.5
1960-09-29,108,16.4,14.1,18.3
1960-09-30,108,16.1,14.8,18.6
1960-10-01,108,17.6,14.2,21.8
1960-10-02,108,16,12.1,21.1
1960-10-03,108,14.9,9.8,21.1
1960-10-04,108,15.8,8.8,23.8
1960-10-05,108,15.8,9.5,23.1
1960-10-06,108,15.8,12.6,21.4
1960-10-07,108,16.6,10.3,23.8
1960-10-08,108,15.9,10.5,22.2
1960-10-09,108,15.9,9,23
1960-10-10,108,15.8,9.3,22.8
1960-10-11,108,16.7,10.6,24.2
1960-10-12,108,18.7,12.1,25.7
1960-10-13,108,18.4,12.8,24.4
1960-10-14,108,19.3,15.4,25.2
1960-10-15,108,19,14,24.9
1960-10-16,108,14.1,10,17.8
1960-10-17,108,12.4,8.2,17.4
1960-10-18,108,13.2,5.4,20.3
1960-10-19,108,15.1,8,22.7
1960-10-20,108,16.5,11.8,23.1
1960-10-21,108,15.9,10.8,22.9
1960-10-22,108,16.1,10.1,22.4
1960-10-23,108,15.8,9.7,22.4
1960-10-24,108,15.3,9.8,21.2
1960-10-25,108,11.6,7.4,14.7
1960-10-26,108,9.6,8.5,12
1960-10-27,108,11,7,17.5
1960-10-28,108,11.1,6.2,17.2
1960-10-29,108,12.6,7.6,17.6
1960-10-30,108,12.8,8.2,17.6
1960-10-31,108,13,7.3,19.2
1960-11-01,108,12.7,7.8,17.1
1960-11-02,108,7.7,3.5,12.2
1960-11-03,108,7.6,1.1,13.3
1960-11-04,108,8.9,5.4,13.7
1960-11-05,108,8,2.1,14.4
1960-11-06,108,9.8,2.8,17.1
1960-11-07,108,10.7,4,17
1960-11-08,108,12.3,5.6,18
1960-11-09,108,10.6,6.4,14.8
1960-11-10,108,6.3,3.2,9.8
1960-11-11,108,6.6,2,11.6
1960-11-12,108,7.8,2.8,13.5
1960-11-13,108,6.5,2.3,11.8
1960-11-14,108,5.6,1.5,10.2
1960-11-15,108,8.8,2.9,14.1
1960-11-16,108,8.7,4.5,14.1
1960-11-17,108,8.8,3.4,14.9
1960-11-18,108,8.8,2.9,13
1960-11-19,108,9.8,5,14.5
1960-11-20,108,7.8,0.9,12.3
1960-11-21,108,11.9,8.8,14.9
1960-11-22,108,12.6,10.3,14.7
1960-11-23,108,9.5,6.5,11.3
1960-11-24,108,9.1,6.5,10.2
1960-11-25,108,5.8,0.9,8.8
1960-11-26,108,-5.6,-10.2,1.1
1960-11-27,108,-4.9,-11.2,0.1
1960-11-28,108,0.2,-3.2,3.8
1960-11-29,108,-1.8,-5.2,2.2
1960-11-30,108,1.3,-4,7.9
1960-12-01,108,-3.2,-7.3,-0.8
1960-12-02,108,2.9,-2.2,8.2
1960-12-03,108,4.8,0.1,9.9
1960-12-04,108,3.3,-0.4,7.6
1960-12-05,108,0.7,-3,4
1960-12-06,108,-4.5,-7.6,-1
1960-12-07,108,-2.1,-6.9,1.8
1960-12-08,108,0.3,-6.2,5.6
1960-12-09,108,4.5,0.4,8
1960-12-10,108,5.6,2.2,9.4
1960-12-11,108,7,0.5,11.6
1960-12-12,108,2.4,-1.7,8.4
1960-12-13,108,0.3,-4.7,3.6
1960-12-14,108,0.7,-2.9,4.4
1960-12-15,108,-0.1,-4,2.9
1960-12-16,108,-1,-6.6,4.2
1960-12-17,108,-4.2,-11.4,0.6
1960-12-18,108,-9.9,-13.1,-6.2
1960-12-19,108,-7.1,-12.6,-1.8
1960-12-20,108,-2.2,-6.3,2.3
1960-12-21,108,-3.1,-7.2,1.9
1960-12-22,108,-0.3,-5.6,4.8
1960-12-23,108,0,-5,4.7
1960-12-24,108,2.5,-1,5.8
1960-12-25,108,-1.7,-6.6,2
1960-12-26,108,-5.2,-7.7,-1.7
1960-12-27,108,-5.2,-9.4,-0.7
1960-12-28,108,-7.5,-9.8,-4.3
1960-12-29,108,-10.8,-13.5,-7.9
1960-12-30,108,-12.8,-16,-9.7
1960-12-31,108,-11.7,-15.7,-7.2
1961-01-01,108,-9.8,-15,-4.9
1961-01-02,108,-6.2,-12.3,0.2
1961-01-03,108,-1.1,-4.7,0.3
1961-01-04,108,-9.5,-13.7,-4.7
1961-01-05,108,-10.8,-16.5,-6.2
1961-01-06,108,-7.9,-9.9,-5.7
1961-01-07,108,-5.4,-9.9,-0.5
1961-01-08,108,-0.8,-4.7,2.3
1961-01-09,108,-0.8,-4.5,2.9
1961-01-10,108,-1.9,-10.6,1.8
1961-01-11,108,-12.9,-16.4,-9.5
1961-01-12,108,-10.6,-16.3,-5.2
1961-01-13,108,-3.7,-8,2.4
1961-01-14,108,-6.1,-9.7,-2
1961-01-15,108,-5.2,-9.2,-0.8
1961-01-16,108,-9.1,-12.8,-4.7
1961-01-17,108,-9.7,-16.2,-4.2
1961-01-18,108,-9.3,-12.5,-6.4
1961-01-19,108,-9,-14.5,-2.3
1961-01-20,108,-2.2,-7,1.5
1961-01-21,108,1.5,-3,5.2
1961-01-22,108,-4.4,-8.1,-1
1961-01-23,108,-2.2,-7.5,3.9
1961-01-24,108,0.2,-2.2,1.1
1961-01-25,108,-1,-4.8,1.1
1961-01-26,108,-4.2,-7.5,-0.6
1961-01-27,108,-3.3,-7.9,3.2
1961-01-28,108,-1.5,-5.4,2.5
1961-01-29,108,-1.6,-5.4,1.4
1961-01-30,108,-5.3,-7.6,-2.2
1961-01-31,108,-8.8,-13.4,-5.7
1961-02-01,108,-9.7,-14.2,-3.8
1961-02-02,108,-8,-11.2,-5.4
1961-02-03,108,-6.1,-11.6,-0.5
1961-02-04,108,0.2,-4.1,5.1
1961-02-05,108,2.5,0.8,4.7
1961-02-06,108,4.6,1.6,7.3
1961-02-07,108,1,-2.5,3.4
1961-02-08,108,-1.9,-4.5,1.2
1961-02-09,108,-1.5,-5,2.4
1961-02-10,108,-4.2,-8,-0.4
1961-02-11,108,-2,-5.4,2.1
1961-02-12,108,-4.6,-8.9,0.1
1961-02-13,108,-1.6,-6.8,4.6
1961-02-14,108,-7.4,-9.8,-4.4
1961-02-15,108,-5.2,-8.7,-1.2
1961-02-16,108,-2.8,-8.8,2.4
1961-02-17,108,-1.9,-5.8,2.5
1961-02-18,108,-3.2,-8.3,3
1961-02-19,108,1.7,-5.2,9.5
1961-02-20,108,5.7,1.1,9.8
1961-02-21,108,2,-2.2,6.8
1961-02-22,108,0.4,-4.2,6.4
1961-02-23,108,1.3,-4.5,7.4
1961-02-24,108,3.9,-2.2,9.4
1961-02-25,108,3.7,-0.6,6.6
1961-02-26,108,1.6,-2,6.5
1961-02-27,108,1.9,-3.9,8.4
1961-02-28,108,4.5,-2.7,12.7
1961-03-01,108,6.9,1.3,11.9
1961-03-02,108,7.6,5.3,9.7
1961-03-03,108,4.9,1.8,9.6
1961-03-04,108,5.5,1.3,8.6
1961-03-05,108,5.3,-1.1,7.9
1961-03-06,108,3,-1.9,9
1961-03-07,108,-1.1,-4.5,3.5
1961-03-08,108,-0.8,-4.9,4.5
1961-03-09,108,0.1,-4.3,4.6
1961-03-10,108,0.6,-4.2,5.8
1961-03-11,108,2.8,-2.5,8.2
1961-03-12,108,5.8,-0.9,11.8
1961-03-13,108,7.7,3.2,14.8
1961-03-14,108,3.5,1.6,11.8
1961-03-15,108,4.8,0.4,11.5
1961-03-16,108,4.9,-0.8,12
1961-03-17,108,7.4,-0.2,14.9
1961-03-18,108,8.7,4,12.7
1961-03-19,108,9.2,5.7,12.9
1961-03-20,108,7.6,3.1,12.9
1961-03-21,108,7,1.4,13.5
1961-03-22,108,5.9,1.3,13
1961-03-23,108,6.7,1.6,12.7
1961-03-24,108,6.5,0,13.1
1961-03-25,108,7.5,1.9,17
1961-03-26,108,5.6,1.6,10.4
1961-03-27,108,3.4,0.2,8.9
1961-03-28,108,5.4,-0.6,10.8
1961-03-29,108,8.2,4,12.7
1961-03-30,108,8.4,5.4,14.8
1961-03-31,108,8.5,3.6,14.3
1961-04-01,108,10.2,5.4,17.3
1961-04-02,108,8.7,1.8,15.8
1961-04-03,108,14.6,6.4,19.6
1961-04-04,108,13.4,7.4,17.8
1961-04-05,108,8,4.4,11.8
1961-04-06,108,5.4,2.6,9.6
1961-04-07,108,9.7,1.4,18.4
1961-04-08,108,8.5,2.7,12.8
1961-04-09,108,5,0.7,10.7
1961-04-10,108,8.1,0.7,14.3
1961-04-11,108,8.6,6,10.6
1961-04-12,108,12.8,7.4,19.4
1961-04-13,108,13,8.6,21.5
1961-04-14,108,11.6,7.3,18.3
1961-04-15,108,8.2,4.5,13.4
1961-04-16,108,7.7,2.4,12.8
1961-04-17,108,8.8,4.6,14.8
1961-04-18,108,11.6,4.2,18.7
1961-04-19,108,14,6.7,21.4
1961-04-20,108,16.4,8.6,25
1961-04-21,108,15.4,13.8,16.9
1961-04-22,108,17.3,14.1,22.3
1961-04-23,108,15.8,9.5,22.4
1961-04-24,108,15.9,11.5,20.2
1961-04-25,108,13.9,9.6,17.8
1961-04-26,108,13.3,10.4,18.2
1961-04-27,108,13.4,7.6,17.8
1961-04-28,108,16.5,8.6,24.3
1961-04-29,108,15.6,9.3,21.8
1961-04-30,108,10.6,7.8,14.9
1961-05-01,108,11.4,7.8,17.6
1961-05-02,108,13.4,4.2,21.2
1961-05-03,108,16.8,8.8,24.8
1961-05-04,108,11.2,6.5,17.3
1961-05-05,108,9.8,5.9,14.8
1961-05-06,108,14.2,6.7,21.2
1961-05-07,108,16.4,10.8,20.5
1961-05-08,108,16.5,11.7,22.8
1961-05-09,108,19.4,12,24.7
1961-05-10,108,21.2,19.7,23.7
1961-05-11,108,18.1,13.9,21
1961-05-12,108,14.8,11.4,20.5
1961-05-13,108,16.5,9.7,22.8
1961-05-14,108,19.1,11.7,26.3
1961-05-15,108,18.3,13.5,23.6
1961-05-16,108,18.4,13.9,24.6
1961-05-17,108,19.6,12.8,26.8
1961-05-18,108,19,15.8,21.8
1961-05-19,108,19.6,12.7,25.8
1961-05-20,108,17.3,13.5,21.8
1961-05-21,108,17.4,11.1,22.8
1961-05-22,108,19.2,12.5,24.6
1961-05-23,108,17.5,14.2,22.3
1961-05-24,108,17.5,12.5,22.3
1961-05-25,108,19.5,11.4,25.9
1961-05-26,108,22.1,13.7,30.1
1961-05-27,108,21.2,15.6,26.4
1961-05-28,108,18.1,14.2,20.8
1961-05-29,108,16.3,12.3,20.6
1961-05-30,108,19.5,12.1,27.1
1961-05-31,108,18.4,14.6,23.4
1961-06-01,108,19.9,14.3,26.2
1961-06-02,108,21.6,15.1,29
1961-06-03,108,23.9,17,29
1961-06-04,108,17.3,14.8,20.8
1961-06-05,108,20,14.2,25.4
1961-06-06,108,21.7,16.8,26
1961-06-07,108,23.5,16.4,29.9
1961-06-08,108,22.1,19.3,27
1961-06-09,108,19.8,16.6,24
1961-06-10,108,19.1,15.3,24.3
1961-06-11,108,19.9,17.9,23.8
1961-06-12,108,19.6,17.9,22.4
1961-06-13,108,20,17.7,23.2
1961-06-14,108,21,16.3,26.6
1961-06-15,108,21.6,15.8,26.7
1961-06-16,108,17.6,14.8,19.4
1961-06-17,108,19.8,13.5,26.8
1961-06-18,108,24.1,17.9,31.2
1961-06-19,108,21.7,20.3,23.6
1961-06-20,108,18.7,17.6,20.6
1961-06-21,108,24,17.5,29.9
1961-06-22,108,24.9,21.9,29.5
1961-06-23,108,22.9,19.4,26.2
1961-06-24,108,24.1,19.2,29.5
1961-06-25,108,25.2,20.2,30.4
1961-06-26,108,24.1,21.2,29.4
1961-06-27,108,24.8,20.3,30.6
1961-06-28,108,24.4,20.4,28.2
1961-06-29,108,24,19.8,29.8
1961-06-30,108,24.9,19.6,31.2
1961-07-01,108,25.9,21.4,32.3
1961-07-02,108,25.2,21.4,28
1961-07-03,108,24.1,23,26.6
1961-07-04,108,26,23.4,31.1
1961-07-05,108,26.1,22.8,31.5
1961-07-06,108,23.5,21.6,25
1961-07-07,108,23.5,21.5,24.6
1961-07-08,108,24,22.8,25.8
1961-07-09,108,25.1,23.2,27.5
1961-07-10,108,24.8,22.8,28.3
1961-07-11,108,25.6,22.2,29
1961-07-12,108,24.3,22.2,25.6
1961-07-13,108,25.8,24.6,27.4
1961-07-14,108,24.5,22.7,26.7
1961-07-15,108,26.1,23.9,29.8
1961-07-16,108,26.1,23.6,30.6
1961-07-17,108,26.3,22.4,31.8
1961-07-18,108,27.8,22.8,33.5
1961-07-19,108,28.5,23.8,33.4
1961-07-20,108,26.9,22.4,31.3
1961-07-21,108,26,24.2,29.7
1961-07-22,108,26.9,23.4,31.5
1961-07-23,108,27.5,24.2,32.7
1961-07-24,108,27.6,23.8,32.7
1961-07-25,108,28.4,25.6,33
1961-07-26,108,28.4,25.3,33.3
1961-07-27,108,27.1,24.7,30.5
1961-07-28,108,25.1,24.1,27.4
1961-07-29,108,27.5,23.4,33.5
1961-07-30,108,28.8,24.4,33.9
1961-07-31,108,29.8,24.4,34.4
1961-08-01,108,30,25.1,35.3
1961-08-02,108,29.9,25.8,34.2
1961-08-03,108,29.5,25.6,35.1
1961-08-04,108,26.7,24.6,30
1961-08-05,108,27.4,24.3,33.1
1961-08-06,108,28.2,25,32.8
1961-08-07,108,28.4,25,33.5
1961-08-08,108,26.2,23.3,30.3
1961-08-09,108,27.2,24.4,31.4
1961-08-10,108,27.1,24.8,30.3
1961-08-11,108,26.6,24.3,30.5
1961-08-12,108,24.8,22.7,28
1961-08-13,108,26.4,23.1,30.7
1961-08-14,108,26.8,21.9,32
1961-08-15,108,26.5,24.7,29.6
1961-08-16,108,24.2,22.2,26.1
1961-08-17,108,26.4,22.5,31.2
1961-08-18,108,28.2,22.8,33.4
1961-08-19,108,28.7,24.3,33.5
1961-08-20,108,27,24.2,30.3
1961-08-21,108,27.3,24.3,31.3
1961-08-22,108,27,24.4,31.3
1961-08-23,108,28.1,24.9,31.1
1961-08-24,108,26.7,23.6,30
1961-08-25,108,25.7,22.4,29.7
1961-08-26,108,26.9,21.3,32.2
1961-08-27,108,26.7,23.3,31.3
1961-08-28,108,26,21,31.4
1961-08-29,108,24.2,21,29.5
1961-08-30,108,22.8,20.8,24.9
1961-08-31,108,23.1,22,26.3
1961-09-01,108,21.9,19.6,22.8
1961-09-02,108,24.1,17.7,30
1961-09-03,108,24.1,20.3,28.9
1961-09-04,108,26.6,23,31.7
1961-09-05,108,23.4,19.1,25.6
1961-09-06,108,22.3,17.6,27.8
1961-09-07,108,24.3,18.8,30
1961-09-08,108,21.4,19.5,24.2
1961-09-09,108,22.4,17.2,28
1961-09-10,108,23.4,18.3,28.8
1961-09-11,108,22.4,17.9,27.9
1961-09-12,108,23.4,18.4,29.1
1961-09-13,108,19.4,17.3,22.3
1961-09-14,108,19.4,18.1,20.3
1961-09-15,108,21,15.2,27.5
1961-09-16,108,20,15.5,25.5
1961-09-17,108,17.7,12.8,22.3
1961-09-18,108,17.4,10.4,23.4
1961-09-19,108,18,11.3,24.2
1961-09-20,108,19.6,15.7,24.7
1961-09-21,108,22.4,17.9,27.2
1961-09-22,108,21.9,18.8,26.2
1961-09-23,108,20.8,18.2,25.1
1961-09-24,108,21,16.6,26.1
1961-09-25,108,18.5,16.8,19.4
1961-09-26,108,19.6,13.7,27.2
1961-09-27,108,22.2,15.6,27.9
1961-09-28,108,23.6,18,29.4
1961-09-29,108,21.7,18,26
1961-09-30,108,19.8,15.2,25.2
1961-10-01,108,18.3,13.2,23.9
1961-10-02,108,19,12.9,25.1
1961-10-03,108,20.9,16.2,25.8
1961-10-04,108,19.4,17.1,22
1961-10-05,108,18.9,16.7,20.7
1961-10-06,108,18.4,8.7,23
1961-10-07,108,15.7,9.8,21.9
1961-10-08,108,15.7,9.4,22.2
1961-10-09,108,17.7,11.2,25.2
1961-10-10,108,16.1,12.2,22.6
1961-10-11,108,15.3,8.8,21.1
1961-10-12,108,15.4,11.6,20.9
1961-10-13,108,13.6,8.5,18.4
1961-10-14,108,13,7.1,17.9
1961-10-15,108,17,12,22.7
1961-10-16,108,14.7,12.2,16.9
1961-10-17,108,18.3,13.7,23.7
1961-10-18,108,17.8,14.9,22.6
1961-10-19,108,17.2,15.4,19.5
1961-10-20,108,16.3,13.1,21.2
1961-10-21,108,14.9,8.8,21.6
1961-10-22,108,15.3,10.7,21.5
1961-10-23,108,11.1,7.1,16
1961-10-24,108,12.8,6.2,20
1961-10-25,108,14.9,9,20.4
1961-10-26,108,14.8,12.4,16.7
1961-10-27,108,15.8,11.5,21.4
1961-10-28,108,13.6,7.9,19.5
1961-10-29,108,11.7,7.8,17.2
1961-10-30,108,10.3,4.1,16.7
1961-10-31,108,11.1,3.3,17.3
1961-11-01,108,12.2,4.2,20.4
1961-11-02,108,14,11.3,16.8
1961-11-03,108,11.6,8.9,16.6
1961-11-04,108,10.3,7.1,13.8
1961-11-05,108,8.3,1.4,13.7
1961-11-06,108,8.9,1.8,16.4
1961-11-07,108,12.3,7.3,18.9
1961-11-08,108,10.8,0.6,15.3
1961-11-09,108,1.7,-2.6,6.9
1961-11-10,108,7.4,1.7,14.6
1961-11-11,108,6.6,0.4,12
1961-11-12,108,7.7,3.6,12.3
